,coin_name,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,coin_symbol
0,Bitcoin,1241177096949.718,0.06597667,6.43662522,0.11689567,63023.71003387856,32224033143.18062,BTC
1,Ethereum,372402014364.1839,-0.20110407,4.55281631,-0.54066664,3100.875069117623,11961836212.20067,ETH
2,Tether USDt,110785761269.66737,-0.01474505,0.01012191,0.07661676,1.0001505192011624,52773663903.9216,USDT
3,BNB,86237700556.48282,-0.12217704,4.16661863,-1.60334093,584.3157504525151,831250377.7818713,BNB
4,Solana,64593569493.1883,0.11599719,5.34358895,6.01997925,144.39891370928643,3301514286.6997876,SOL
5,USDC,33447617477.51765,-0.00501768,-0.01592024,-0.00307363,0.9999008312886855,7197372012.137557,USDC
6,XRP,29204967492.773724,-0.11740147,1.92113469,2.6956084,0.5287315048997976,1004067994.1264569,XRP
7,Dogecoin,21684747512.76842,-0.18279646,13.74454726,3.67110722,0.15043271539774927,1492616762.431481,DOGE
8,Toncoin,19931690719.95732,-0.65743533,8.15646288,9.33644801,5.73869920441314,316191480.47728074,TON
9,Cardano,16621004386.606678,0.00644812,3.22344538,2.44212043,0.4661958005200454,296249870.0878926,ADA
10,Shiba Inu,14567507550.266155,-0.32650441,8.43007253,0.33312415,2.472046380432334e-05,753700873.1459374,SHIB
11,Avalanche,13456254012.158972,-0.24428589,5.67308327,4.0503177,35.45338198259092,300617350.4676969,AVAX
12,TRON,10759710071.4596,0.185695,0.69353739,2.04726444,0.12293196265555872,264891652.26474518,TRX
13,Polkadot,10282322304.175686,-0.14688398,1.24748671,7.32765023,7.150664326029304,232051074.0778717,DOT
14,Bitcoin Cash,9135406908.445312,-0.49726111,6.88003246,-1.61468387,463.7027743523924,400248217.0940211,BCH
15,Chainlink,8307748611.974438,0.0577285,4.81657295,0.07215069,14.15048378484381,262021995.9610501,LINK
16,NEAR Protocol,7303098174.62275,0.13315125,10.37908827,-2.31272561,6.835783282807749,437486995.8625025,NEAR
17,Polygon,7183970466.452537,0.00399716,1.27912747,4.38158179,0.7257252135427176,206482754.2303147,MATIC
18,Internet Computer,6154132052.063961,-0.03040669,-0.00786994,2.82074042,13.278962510782197,127221621.81542398,ICP
